CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
CarEntity{vin='WAWEADASCCZ12131', model='AUDI', type='A4', yearOfProduction=2004}
CarEntity{vin='WAFASF3VSDVZVZXA', model='Volksvagen', type='Golf', yearOfProduction=2002}
CarEntity{vin='WAFASF3VSA', model='Audi', type='a8', yearOfProduction=2010}
